ID,Nome,Email,Idade,NomePai,NomeMae,RG
1,Eder Sousa,eder.santo@sousait.net,34,Matheus Jose,Ana Sousa,28313234-6
2,Carlos Alberto,carlos.alberto!gmail.com,22,Eduardo Aberto,Maria José,1234554-X
3,José Henrique,jose.henrique@gmail.com,33,Matheus Jose,Ana Sousa,3453543-X
4,Danilo Gabriel,danilo.gabriel.gmail.com,30,Eduardo Aberto,Maria José,8768768-X
5,Jose da Silva,jose.silva@gmail.com,54,Matheus Jose,Ana Sousa,222222-X
6,Mariana Marinho,mariana.nascimento@gmail.com,43,Eduardo Aberto,Maria José,433434-X
7,Marcia Garcia,marcia.garcia@gmail.com,45,Matheus Jose,Ana Sousa,1111111-X
8,Ana Clara,ana.clara@gmail.com,32,Eduardo Aberto,Maria José,123213123-2
9,Mario Sousa,mario.sousa@gmail.com,21,Matheus Jose,Ana Sousa,123234234-4
10,Andreza de Moraes,andraze.moraes@gmail.com,20,Eduardo Aberto,Maria José,43534534-6
11,Geraldo do Nascimento,geraldo.nascimento@gmail.com,60,Matheus Jose,Ana Sousa,34234233-3
